126.47,133.78,0
123.09,124.29,1
123.33,127.71,0
127.12,130.15,2
123.25,128.61,0
125.79,134.84,0
127.45,135.27,1
124.96,128.00,0
127.89,136.59,0
131.64,137.70,0
129.38,137.23,1
129.82,140.96,0
123.65,132.36,0
125.06,128.27,0
126.05,141.25,2
132.94,135.28,1
131.16,142.32,2
123.83,126.87,1
125.48,134.54,0
125.68,130.67,2
133.33,137.16,0
126.71,127.46,0
130.20,130.72,1
120.44,130.52,1
126.42,134.54,0
129.63,134.27,0
126.36,132.54,1
127.75,137.70,1
130.39,141.45,2
127.46,132.40,0
120.05,129.66,0
125.39,128.35,1
125.32,132.93,1
126.12,129.77,1
125.58,139.28,1
127.08,133.44,1
127.55,134.77,0
126.80,137.12,1
122.47,131.51,0
132.22,140.88,0
127.91,137.77,1
123.46,137.29,0
125.66,123.21,1
119.72,125.63,1
123.44,133.59,0
118.84,129.03,2
123.12,127.71,0
129.26,131.26,0
127.33,141.49,0
127.08,128.93,0
122.08,131.29,0
125.81,137.93,2
127.84,138.83,0
129.24,142.66,1
126.39,140.38,1
128.71,138.21,0
121.46,127.91,2
129.14,144.64,0
122.61,127.15,1
122.36,140.76,0
124.44,136.32,1
123.33,132.44,0
123.87,133.70,2
124.81,133.07,2
122.42,133.95,2
122.07,130.18,0
124.67,134.03,0
120.68,133.26,0
121.34,137.85,0
122.90,135.02,0
128.78,143.85,0
126.89,142.35,0
115.70,127.11,0
126.78,136.63,0
127.19,128.79,1
122.82,122.79,1
121.59,136.80,2
126.53,133.49,0
124.11,129.69,1
123.93,134.16,2
117.48,127.57,2
123.50,130.52,0
116.20,130.33,1
124.66,136.74,1
125.72,133.87,1
126.25,133.59,0
125.07,128.36,1
122.86,129.21,0
126.84,139.33,2
126.10,125.53,1
121.03,132.70,0
123.44,134.34,0
122.86,133.50,1
127.86,138.98,0
122.75,135.70,2
125.95,131.11,0
124.64,137.28,0
124.91,128.07,0
126.59,136.99,0
